Epoch,Step,Total,CE,feat
0,0,7.0,7.0,
0,10,6.59375,6.59375,
0,20,6.53125,6.53125,
0,30,6.40625,6.40625,
0,40,6.40625,6.40625,
0,50,6.40625,6.40625,
0,60,6.28125,6.28125,
0,70,6.1875,6.1875,
0,80,6.375,6.375,
0,90,6.3125,6.3125,
0,100,6.28125,6.28125,
0,110,6.28125,6.28125,
1,0,6.1875,6.1875,
1,10,6.25,6.25,
1,20,6.21875,6.21875,
1,30,6.15625,6.15625,
1,40,6.21875,6.21875,
1,50,6.25,6.25,
1,60,6.125,6.125,
1,70,6.03125,6.03125,
1,80,6.25,6.25,
1,90,6.1875,6.1875,
1,100,6.15625,6.15625,
1,110,6.1875,6.1875,
2,0,6.09375,6.09375,
2,10,6.15625,6.15625,
2,20,6.15625,6.15625,
2,30,6.0625,6.0625,
2,40,6.125,6.125,
2,50,6.15625,6.15625,
2,60,6.03125,6.03125,
2,70,5.96875,5.96875,
2,80,6.1875,6.1875,
2,90,6.125,6.125,
2,100,6.09375,6.09375,
2,110,6.125,6.125,
3,0,6.03125,6.03125,
3,10,6.09375,6.09375,
3,20,6.09375,6.09375,
3,30,6.0,6.0,
3,40,6.09375,6.09375,
3,50,6.125,6.125,
3,60,6.0,6.0,
3,70,5.90625,5.90625,
3,80,6.125,6.125,
3,90,6.0625,6.0625,
3,100,6.0625,6.0625,
3,110,6.09375,6.09375,
4,0,6.0,6.0,
4,10,6.0625,6.0625,
4,20,6.0625,6.0625,
4,30,5.96875,5.96875,
4,40,6.0625,6.0625,
4,50,6.09375,6.09375,
4,60,5.96875,5.96875,
4,70,5.875,5.875,
4,80,6.09375,6.09375,
4,90,6.03125,6.03125,
4,100,6.03125,6.03125,
4,110,6.0625,6.0625,
5,0,5.96875,5.96875,
5,10,6.03125,6.03125,
5,20,6.03125,6.03125,
5,30,5.9375,5.9375,
5,40,6.03125,6.03125,
5,50,6.0625,6.0625,
5,60,5.9375,5.9375,
5,70,5.84375,5.84375,
5,80,6.0625,6.0625,
5,90,6.0,6.0,
5,100,6.0,6.0,
5,110,6.03125,6.03125,
6,0,5.9375,5.9375,
6,10,6.0,6.0,
6,20,6.0,6.0,
6,30,5.90625,5.90625,
6,40,6.0,6.0,
6,50,6.03125,6.03125,
6,60,5.90625,5.90625,
6,70,5.84375,5.84375,
6,80,6.03125,6.03125,
6,90,6.0,6.0,
6,100,5.96875,5.96875,
6,110,6.0,6.0,
7,0,5.90625,5.90625,
7,10,6.0,6.0,
7,20,6.0,6.0,
7,30,5.90625,5.90625,
7,40,5.96875,5.96875,
7,50,6.03125,6.03125,
7,60,5.90625,5.90625,
7,70,5.8125,5.8125,
7,80,6.03125,6.03125,
7,90,5.96875,5.96875,
7,100,5.96875,5.96875,
7,110,6.0,6.0,
8,0,5.90625,5.90625,
8,10,5.96875,5.96875,
8,20,5.96875,5.96875,
8,30,5.875,5.875,
8,40,5.96875,5.96875,
8,50,6.0,6.0,
8,60,5.875,5.875,
8,70,5.8125,5.8125,
8,80,6.0,6.0,
8,90,5.9375,5.9375,
8,100,5.9375,5.9375,
8,110,5.96875,5.96875,
9,0,5.875,5.875,
9,10,5.96875,5.96875,
9,20,5.96875,5.96875,
9,30,5.875,5.875,
9,40,5.96875,5.96875,
9,50,6.0,6.0,
9,60,5.875,5.875,
9,70,5.78125,5.78125,
9,80,6.0,6.0,
9,90,5.9375,5.9375,
9,100,5.9375,5.9375,
9,110,5.96875,5.96875,
10,0,5.875,5.875,
10,10,5.9375,5.9375,
10,20,5.9375,5.9375,
10,30,5.84375,5.84375,
10,40,5.9375,5.9375,
10,50,5.96875,5.96875,
10,60,5.84375,5.84375,
10,70,5.78125,5.78125,
10,80,5.96875,5.96875,
10,90,5.9375,5.9375,
10,100,5.90625,5.90625,
10,110,5.9375,5.9375,
11,0,5.875,5.875,
11,10,5.9375,5.9375,
11,20,5.9375,5.9375,
11,30,5.84375,5.84375,
11,40,5.9375,5.9375,
11,50,5.96875,5.96875,
11,60,5.84375,5.84375,
11,70,5.78125,5.78125,
11,80,5.96875,5.96875,
11,90,5.90625,5.90625,
11,100,5.90625,5.90625,
11,110,5.9375,5.9375,
12,0,5.84375,5.84375,
12,10,5.9375,5.9375,
12,20,5.9375,5.9375,
12,30,5.84375,5.84375,
12,40,5.9375,5.9375,
12,50,5.96875,5.96875,
12,60,5.84375,5.84375,
12,70,5.75,5.75,
12,80,5.96875,5.96875,
12,90,5.90625,5.90625,
12,100,5.90625,5.90625,
12,110,5.9375,5.9375,
13,0,5.84375,5.84375,
13,10,5.9375,5.9375,
13,20,5.9375,5.9375,
13,30,5.84375,5.84375,
13,40,5.90625,5.90625,
13,50,5.96875,5.96875,
13,60,5.8125,5.8125,
13,70,5.75,5.75,
13,80,5.96875,5.96875,
13,90,5.90625,5.90625,
13,100,5.90625,5.90625,
13,110,5.90625,5.90625,
14,0,5.84375,5.84375,
14,10,5.90625,5.90625,
14,20,5.90625,5.90625,
14,30,5.8125,5.8125,
14,40,5.90625,5.90625,
14,50,5.9375,5.9375,
14,60,5.8125,5.8125,
14,70,5.75,5.75,
14,80,5.9375,5.9375,
14,90,5.90625,5.90625,
14,100,5.875,5.875,
14,110,5.90625,5.90625,
15,0,5.84375,5.84375,
15,10,5.90625,5.90625,
15,20,5.90625,5.90625,
15,30,5.8125,5.8125,
15,40,5.90625,5.90625,
15,50,5.9375,5.9375,
15,60,5.8125,5.8125,
