Epoch,Step,Total,CE,feat
0,0,7.125,7.125,
0,10,13.25,13.25,
1,0,23.25,23.25,
1,10,48.5,48.5,
2,0,47.0,47.0,
2,10,49.75,49.75,
3,0,49.5,49.5,
3,10,47.25,47.25,
4,0,50.75,50.75,
4,10,46.5,46.5,
5,0,59.5,59.5,
5,10,73.5,73.5,
6,0,88.0,88.0,
6,10,87.0,87.0,
7,0,103.5,103.5,
7,10,94.5,94.5,
8,0,103.0,103.0,
8,10,87.0,87.0,
9,0,90.0,90.0,
9,10,80.0,80.0,
10,0,81.5,81.5,
10,10,71.5,71.5,
11,0,83.0,83.0,
11,10,68.5,68.5,
12,0,89.5,89.5,
12,10,71.5,71.5,
13,0,93.0,93.0,
13,10,85.0,85.0,
14,0,108.0,108.0,
14,10,85.5,85.5,
15,0,96.5,96.5,
15,10,83.0,83.0,
16,0,99.5,99.5,
16,10,88.0,88.0,
17,0,101.5,101.5,
17,10,90.0,90.0,
18,0,101.0,101.0,
18,10,83.0,83.0,
19,0,88.5,88.5,
19,10,86.5,86.5,
20,0,97.0,97.0,
20,10,87.0,87.0,
21,0,91.0,91.0,
21,10,88.0,88.0,
22,0,84.0,84.0,
22,10,88.0,88.0,
23,0,80.0,80.0,
23,10,81.5,81.5,
24,0,73.0,73.0,
24,10,78.0,78.0,
25,0,78.0,78.0,
25,10,78.5,78.5,
26,0,91.0,91.0,
26,10,99.0,99.0,
27,0,95.0,95.0,
27,10,84.0,84.0,
28,0,78.5,78.5,
28,10,75.0,75.0,
29,0,68.5,68.5,
29,10,66.5,66.5,
30,0,64.5,64.5,
30,10,56.5,56.5,
31,0,62.75,62.75,
31,10,47.75,47.75,
32,0,54.5,54.5,
32,10,45.75,45.75,
33,0,58.5,58.5,
33,10,53.5,53.5,
34,0,67.5,67.5,
34,10,57.5,57.5,
35,0,61.0,61.0,
35,10,47.75,47.75,
36,0,56.25,56.25,
36,10,44.0,44.0,
37,0,52.75,52.75,
37,10,45.75,45.75,
38,0,48.0,48.0,
38,10,46.0,46.0,
39,0,51.5,51.5,
39,10,45.75,45.75,
40,0,45.0,45.0,
40,10,47.5,47.5,
41,0,46.0,46.0,
41,10,40.5,40.5,
42,0,38.75,38.75,
42,10,35.75,35.75,
43,0,35.0,35.0,
43,10,33.75,33.75,
44,0,29.375,29.375,
44,10,33.0,33.0,
45,0,32.25,32.25,
45,10,32.25,32.25,
46,0,26.75,26.75,
46,10,28.5,28.5,
47,0,31.0,31.0,
47,10,37.25,37.25,
48,0,30.875,30.875,
48,10,39.5,39.5,
49,0,27.75,27.75,
49,10,30.5,30.5,
50,0,21.125,21.125,
50,10,23.5,23.5,
51,0,18.875,18.875,
51,10,23.125,23.125,
52,0,19.875,19.875,
52,10,18.75,18.75,
53,0,15.8125,15.8125,
53,10,17.25,17.25,
54,0,17.625,17.625,
54,10,13.625,13.625,
55,0,15.25,15.25,
55,10,17.0,17.0,
56,0,17.125,17.125,
56,10,13.9375,13.9375,
57,0,14.375,14.375,
57,10,14.125,14.125,
58,0,12.0,12.0,
58,10,13.625,13.625,
59,0,10.875,10.875,
59,10,13.625,13.625,
60,0,12.25,12.25,
60,10,12.125,12.125,
61,0,11.0625,11.0625,
61,10,9.5625,9.5625,
62,0,8.875,8.875,
62,10,8.4375,8.4375,
63,0,9.125,9.125,
63,10,8.3125,8.3125,
64,0,8.75,8.75,
64,10,7.09375,7.09375,
65,0,7.65625,7.65625,
65,10,6.78125,6.78125,
66,0,6.8125,6.8125,
66,10,6.65625,6.65625,
67,0,6.625,6.625,
67,10,6.40625,6.40625,
68,0,6.46875,6.46875,
68,10,6.1875,6.1875,
69,0,6.25,6.25,
69,10,6.25,6.25,
70,0,6.28125,6.28125,
70,10,6.15625,6.15625,
71,0,6.21875,6.21875,
71,10,6.15625,6.15625,
72,0,6.1875,6.1875,
72,10,6.125,6.125,
73,0,6.15625,6.15625,
73,10,6.125,6.125,
74,0,6.15625,6.15625,
74,10,6.09375,6.09375,
75,0,6.15625,6.15625,
75,10,6.09375,6.09375,
76,0,6.125,6.125,
76,10,6.09375,6.09375,
77,0,6.125,6.125,
77,10,6.09375,6.09375,
78,0,6.125,6.125,
78,10,6.09375,6.09375,
79,0,6.125,6.125,
79,10,6.09375,6.09375,
80,0,6.125,6.125,
80,10,6.09375,6.09375,
81,0,6.125,6.125,
81,10,6.09375,6.09375,
82,0,6.125,6.125,
82,10,6.09375,6.09375,
83,0,6.09375,6.09375,
83,10,6.09375,6.09375,
84,0,6.09375,6.09375,
84,10,6.09375,6.09375,
85,0,6.09375,6.09375,
85,10,6.0625,6.0625,
86,0,6.09375,6.09375,
86,10,6.0625,6.0625,
87,0,6.09375,6.09375,
87,10,6.0625,6.0625,
88,0,6.09375,6.09375,
88,10,6.0625,6.0625,
89,0,6.09375,6.09375,
89,10,6.0625,6.0625,
90,0,6.09375,6.09375,
90,10,6.0625,6.0625,
91,0,6.09375,6.09375,
91,10,6.0625,6.0625,
92,0,6.09375,6.09375,
92,10,6.0625,6.0625,
93,0,6.09375,6.09375,
93,10,6.0625,6.0625,
94,0,6.09375,6.09375,
94,10,6.0625,6.0625,
95,0,6.09375,6.09375,
95,10,6.0625,6.0625,
96,0,6.09375,6.09375,
96,10,6.0625,6.0625,
97,0,6.09375,6.09375,
97,10,6.0625,6.0625,
98,0,6.09375,6.09375,
98,10,6.0625,6.0625,
99,0,6.09375,6.09375,
99,10,6.0625,6.0625,
