Epoch,Step,Total,CE,feat
1,0,6.90625,6.90625,
1,10,7.46875,7.46875,
1,20,7.5625,7.5625,
1,30,6.5,6.5,
1,40,6.46875,6.46875,
1,50,6.78125,6.78125,
1,60,6.34375,6.34375,
1,70,6.34375,6.34375,
1,80,6.53125,6.53125,
1,90,6.40625,6.40625,
1,100,6.40625,6.40625,
1,110,6.40625,6.40625,
2,0,6.625,6.625,
2,10,6.4375,6.4375,
2,20,6.34375,6.34375,
2,30,6.40625,6.40625,
2,40,6.4375,6.4375,
2,50,6.59375,6.59375,
2,60,6.34375,6.34375,
2,70,6.3125,6.3125,
2,80,6.5,6.5,
2,90,6.40625,6.40625,
2,100,6.375,6.375,
2,110,6.375,6.375,
3,0,6.59375,6.59375,
3,10,6.375,6.375,
3,20,6.3125,6.3125,
3,30,6.40625,6.40625,
3,40,6.375,6.375,
3,50,6.5625,6.5625,
3,60,6.28125,6.28125,
3,70,6.21875,6.21875,
3,80,6.46875,6.46875,
3,90,6.34375,6.34375,
3,100,6.34375,6.34375,
3,110,6.3125,6.3125,
4,0,6.5,6.5,
4,10,6.34375,6.34375,
4,20,6.25,6.25,
4,30,6.375,6.375,
4,40,6.3125,6.3125,
4,50,6.5,6.5,
4,60,6.21875,6.21875,
4,70,6.21875,6.21875,
4,80,6.40625,6.40625,
4,90,6.3125,6.3125,
4,100,6.28125,6.28125,
4,110,6.21875,6.21875,
5,0,6.46875,6.46875,
5,10,6.3125,6.3125,
5,20,6.1875,6.1875,
5,30,6.25,6.25,
5,40,6.28125,6.28125,
5,50,6.4375,6.4375,
5,60,6.15625,6.15625,
5,70,6.15625,6.15625,
5,80,6.3125,6.3125,
5,90,6.3125,6.3125,
5,100,6.21875,6.21875,
5,110,6.125,6.125,
6,0,6.375,6.375,
6,10,6.25,6.25,
6,20,6.0625,6.0625,
6,30,6.25,6.25,
6,40,6.21875,6.21875,
6,50,6.34375,6.34375,
6,60,6.09375,6.09375,
6,70,6.0625,6.0625,
6,80,6.21875,6.21875,
6,90,6.21875,6.21875,
6,100,6.125,6.125,
6,110,6.09375,6.09375,
7,0,6.25,6.25,
7,10,6.15625,6.15625,
7,20,6.0625,6.0625,
7,30,6.15625,6.15625,
7,40,6.0625,6.0625,
7,50,6.25,6.25,
7,60,5.96875,5.96875,
7,70,5.90625,5.90625,
7,80,6.125,6.125,
7,90,6.125,6.125,
7,100,6.0,6.0,
7,110,5.96875,5.96875,
8,0,6.125,6.125,
8,10,6.0625,6.0625,
8,20,5.9375,5.9375,
8,30,6.0625,6.0625,
8,40,5.90625,5.90625,
8,50,6.15625,6.15625,
8,60,5.84375,5.84375,
8,70,5.875,5.875,
8,80,6.0,6.0,
8,90,5.96875,5.96875,
8,100,5.875,5.875,
8,110,5.84375,5.84375,
9,0,6.0625,6.0625,
9,10,5.96875,5.96875,
9,20,5.8125,5.8125,
9,30,5.96875,5.96875,
9,40,5.75,5.75,
9,50,6.0,6.0,
9,60,5.71875,5.71875,
9,70,5.78125,5.78125,
9,80,5.90625,5.90625,
9,90,5.78125,5.78125,
9,100,5.78125,5.78125,
9,110,5.75,5.75,
10,0,5.96875,5.96875,
10,10,5.90625,5.90625,
10,20,5.71875,5.71875,
10,30,5.875,5.875,
10,40,5.65625,5.65625,
10,50,5.9375,5.9375,
10,60,5.625,5.625,
10,70,5.65625,5.65625,
10,80,5.75,5.75,
10,90,5.65625,5.65625,
10,100,5.625,5.625,
10,110,5.65625,5.65625,
11,0,5.84375,5.84375,
11,10,5.78125,5.78125,
11,20,5.625,5.625,
11,30,5.6875,5.6875,
11,40,5.625,5.625,
11,50,5.8125,5.8125,
11,60,5.40625,5.40625,
11,70,5.53125,5.53125,
11,80,5.6875,5.6875,
11,90,5.5,5.5,
11,100,5.4375,5.4375,
11,110,5.5625,5.5625,
12,0,5.71875,5.71875,
12,10,5.625,5.625,
12,20,5.4375,5.4375,
12,30,5.5625,5.5625,
12,40,5.46875,5.46875,
12,50,5.65625,5.65625,
12,60,5.28125,5.28125,
12,70,5.375,5.375,
12,80,5.53125,5.53125,
12,90,5.375,5.375,
12,100,5.34375,5.34375,
12,110,5.4375,5.4375,
13,0,5.59375,5.59375,
13,10,5.59375,5.59375,
13,20,5.28125,5.28125,
13,30,5.4375,5.4375,
13,40,5.40625,5.40625,
13,50,5.53125,5.53125,
13,60,5.125,5.125,
13,70,5.1875,5.1875,
13,80,5.34375,5.34375,
13,90,5.21875,5.21875,
13,100,5.21875,5.21875,
13,110,5.28125,5.28125,
14,0,5.5,5.5,
14,10,5.46875,5.46875,
14,20,5.09375,5.09375,
14,30,5.3125,5.3125,
14,40,5.21875,5.21875,
14,50,5.375,5.375,
14,60,5.0,5.0,
14,70,5.0625,5.0625,
14,80,5.21875,5.21875,
14,90,5.15625,5.15625,
14,100,5.0625,5.0625,
14,110,5.0625,5.0625,
15,0,5.34375,5.34375,
15,10,5.3125,5.3125,
15,20,4.96875,4.96875,
15,30,5.15625,5.15625,
15,40,5.09375,5.09375,
15,50,5.34375,5.34375,
15,60,4.90625,4.90625,
15,70,5.03125,5.03125,
15,80,5.09375,5.09375,
15,90,5.0,5.0,
15,100,4.9375,4.9375,
15,110,4.96875,4.96875,
16,0,5.28125,5.28125,
16,10,5.15625,5.15625,
16,20,4.90625,4.90625,
16,30,5.03125,5.03125,
16,40,4.9375,4.9375,
16,50,5.15625,5.15625,
16,60,4.8125,4.8125,
16,70,4.8125,4.8125,
16,80,4.9375,4.9375,
16,90,4.84375,4.84375,
16,100,4.875,4.875,
16,110,4.78125,4.78125,
17,0,5.15625,5.15625,
17,10,5.09375,5.09375,
17,20,4.75,4.75,
17,30,4.875,4.875,
17,40,4.84375,4.84375,
17,50,4.96875,4.96875,
17,60,4.6875,4.6875,
17,70,4.65625,4.65625,
17,80,4.75,4.75,
17,90,4.78125,4.78125,
17,100,4.75,4.75,
17,110,4.75,4.75,
18,0,5.0625,5.0625,
18,10,4.96875,4.96875,
18,20,4.625,4.625,
18,30,4.6875,4.6875,
18,40,4.75,4.75,
18,50,4.78125,4.78125,
18,60,4.5625,4.5625,
18,70,4.53125,4.53125,
18,80,4.71875,4.71875,
18,90,4.6875,4.6875,
18,100,4.65625,4.65625,
18,110,4.71875,4.71875,
19,0,4.90625,4.90625,
19,10,4.84375,4.84375,
19,20,4.46875,4.46875,
19,30,4.65625,4.65625,
19,40,4.59375,4.59375,
19,50,4.6875,4.6875,
19,60,4.53125,4.53125,
19,70,4.375,4.375,
19,80,4.5625,4.5625,
19,90,4.53125,4.53125,
19,100,4.625,4.625,
19,110,4.59375,4.59375,
20,0,4.78125,4.78125,
20,10,4.78125,4.78125,
20,20,4.3125,4.3125,
20,30,4.59375,4.59375,
20,40,4.5,4.5,
20,50,4.53125,4.53125,
20,60,4.5,4.5,
20,70,4.3125,4.3125,
20,80,4.4375,4.4375,
20,90,4.46875,4.46875,
20,100,4.53125,4.53125,
20,110,4.5,4.5,
21,0,4.71875,4.71875,
21,10,4.65625,4.65625,
21,20,4.21875,4.21875,
21,30,4.4375,4.4375,
21,40,4.375,4.375,
21,50,4.375,4.375,
21,60,4.34375,4.34375,
21,70,4.1875,4.1875,
21,80,4.4375,4.4375,
21,90,4.40625,4.40625,
21,100,4.34375,4.34375,
21,110,4.4375,4.4375,
22,0,4.625,4.625,
22,10,4.5,4.5,
22,20,4.1875,4.1875,
22,30,4.28125,4.28125,
22,40,4.28125,4.28125,
22,50,4.375,4.375,
22,60,4.09375,4.09375,
22,70,4.25,4.25,
22,80,4.4375,4.4375,
22,90,4.34375,4.34375,
22,100,4.15625,4.15625,
22,110,4.25,4.25,
23,0,4.46875,4.46875,
23,10,4.34375,4.34375,
23,20,4.0,4.0,
23,30,4.21875,4.21875,
23,40,4.1875,4.1875,
23,50,4.21875,4.21875,
23,60,4.21875,4.21875,
23,70,4.21875,4.21875,
23,80,4.21875,4.21875,
23,90,4.15625,4.15625,
23,100,4.0,4.0,
23,110,4.0,4.0,
24,0,4.34375,4.34375,
24,10,4.15625,4.15625,
24,20,3.8125,3.8125,
24,30,4.34375,4.34375,
24,40,4.25,4.25,
24,50,4.21875,4.21875,
24,60,4.09375,4.09375,
24,70,4.03125,4.03125,
24,80,4.0625,4.0625,
24,90,4.09375,4.09375,
24,100,3.953125,3.953125,
24,110,3.890625,3.890625,
25,0,4.28125,4.28125,
25,10,3.984375,3.984375,
25,20,3.703125,3.703125,
25,30,4.1875,4.1875,
25,40,4.25,4.25,
25,50,4.28125,4.28125,
25,60,4.09375,4.09375,
25,70,3.71875,3.71875,
25,80,4.0,4.0,
25,90,4.09375,4.09375,
25,100,3.875,3.875,
25,110,3.875,3.875,
26,0,4.125,4.125,
26,10,3.859375,3.859375,
26,20,3.65625,3.65625,
26,30,4.0625,4.0625,
26,40,4.125,4.125,
26,50,4.1875,4.1875,
26,60,3.921875,3.921875,
26,70,3.609375,3.609375,
26,80,3.890625,3.890625,
26,90,3.765625,3.765625,
26,100,3.609375,3.609375,
26,110,3.640625,3.640625,
27,0,4.125,4.125,
27,10,3.90625,3.90625,
27,20,3.78125,3.78125,
27,30,3.9375,3.9375,
27,40,4.40625,4.40625,
27,50,3.9375,3.9375,
27,60,3.6875,3.6875,
27,70,3.515625,3.515625,
27,80,3.640625,3.640625,
27,90,3.484375,3.484375,
27,100,3.453125,3.453125,
27,110,3.65625,3.65625,
28,0,4.1875,4.1875,
28,10,3.96875,3.96875,
28,20,3.890625,3.890625,
28,30,4.125,4.125,
28,40,4.125,4.125,
28,50,3.90625,3.90625,
28,60,3.53125,3.53125,
28,70,3.296875,3.296875,
28,80,3.421875,3.421875,
28,90,3.59375,3.59375,
28,100,3.53125,3.53125,
28,110,3.6875,3.6875,
29,0,4.125,4.125,
29,10,3.984375,3.984375,
29,20,3.65625,3.65625,
29,30,3.90625,3.90625,
29,40,3.890625,3.890625,
29,50,3.734375,3.734375,
29,60,3.359375,3.359375,
29,70,3.15625,3.15625,
29,80,3.28125,3.28125,
29,90,3.390625,3.390625,
29,100,3.53125,3.53125,
29,110,3.703125,3.703125,
30,0,4.21875,4.21875,
30,10,4.0,4.0,
30,20,3.71875,3.71875,
30,30,3.59375,3.59375,
30,40,3.59375,3.59375,
30,50,3.46875,3.46875,
30,60,3.109375,3.109375,
30,70,2.96875,2.96875,
30,80,3.265625,3.265625,
30,90,3.375,3.375,
30,100,3.859375,3.859375,
30,110,3.609375,3.609375,
31,0,4.15625,4.15625,
31,10,3.796875,3.796875,
31,20,3.484375,3.484375,
31,30,3.390625,3.390625,
31,40,3.546875,3.546875,
31,50,3.25,3.25,
31,60,3.046875,3.046875,
31,70,2.78125,2.78125,
31,80,3.15625,3.15625,
31,90,3.703125,3.703125,
31,100,3.90625,3.90625,
31,110,3.6875,3.6875,
32,0,4.125,4.125,
32,10,3.65625,3.65625,
32,20,3.265625,3.265625,
32,30,3.234375,3.234375,
32,40,3.109375,3.109375,
32,50,3.09375,3.09375,
32,60,2.90625,2.90625,
32,70,2.75,2.75,
32,80,3.546875,3.546875,
32,90,3.734375,3.734375,
32,100,3.84375,3.84375,
32,110,3.4375,3.4375,
33,0,4.09375,4.09375,
33,10,3.5,3.5,
33,20,3.09375,3.09375,
33,30,2.84375,2.84375,
33,40,2.90625,2.90625,
33,50,2.921875,2.921875,
33,60,2.859375,2.859375,
33,70,2.734375,2.734375,
33,80,3.328125,3.328125,
33,90,3.65625,3.65625,
33,100,3.65625,3.65625,
33,110,3.453125,3.453125,
34,0,4.0625,4.0625,
34,10,3.375,3.375,
34,20,2.671875,2.671875,
34,30,2.78125,2.78125,
